"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","201298.403934967","196751.58606363653","192329.4966257575","187563.77796441034","186799.3271868866","182785.30010641614","180747.905251385","174183.30521251768","170251.9602566469","169175.6417529165","166803.6204672428","159008.1799032199","156038.29242970343","153630.60391811305","151137.78374070203","150056.15470491932","149361.7879971604","149674.65373440416","150192.171104174","149844.4209812633","148914.39645380332","148469.04711442863","146852.77443348468","145323.64714631677","144983.19611847546","146657.10034029128","147356.25730475428","147682.33571905474","147580.5509369816","148381.6755126295","148456.6620859829","147499.20058412632","147304.38773244858","147713.60415704138","149470.79193086643","150291.63137592855","148333.79542905904","147196.9651966729","141301.093028047"
"1.1. Formação Florestal","192756.75828727405","188439.87291024288","185021.2763444037","179783.1739636168","177668.9605928558","174015.9227847547","171828.51565037787","165893.37774297415","162542.56571926284","161891.3648998586","159270.850175568","151522.7917829928","149461.6414354835","149039.41486460963","147456.1378066261","146656.4147522765","145882.0439276292","146097.32319476793","146826.72874803387","146663.01253151355","145825.04967470176","145443.63341173696","144085.95220720294","142941.6749879733","142794.26949340833","144364.05551841017","145024.27870178796","145348.21303522904","145263.12514758343","145741.45667673473","145721.43605893824","144943.72209958042","144999.19678548817","145382.7871811686","146042.5674158701","147240.6560883309","146093.96054452535","145305.81286549004","139694.1475065016"
"1.2. Formação Savânica","3236.1814898071843","3210.643072155815","2675.228103454608","2688.2726365723106","3321.742880242966","3371.7468310913687","3312.632014465386","3000.892174267621","2310.2746373596196","2163.6536932250865","2219.5422005004957","2007.0062209472428","1671.4313387267819","1212.2691673767001","696.5053557617201","257.88580924682566","172.1613171630856","176.26776234741172","145.6400798645018","119.92367164916998","91.70656766967784","90.72461301879899","74.7404907958986","57.2388661560059","61.525015216064475","78.75824243164077","81.1694476135255","77.06207250366214","76.70452175292981","98.22562538452148","95.99347604370121","76.25919674682629","62.59685436401375","63.48976492919937","251.45787175903322","253.33330906982417","73.13475671386728","68.93847260131844","52.9538969116211"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","907.4726613098193","1030.9551002746634","1087.2053605774024","894.4402139770517","966.5840459472643","1011.6714988159212","1045.3315077758823","1025.686912066659","1036.848405847175","1045.9556380371123","895.2397599914569","701.6719306091326","821.313331109619","912.2927910827634","823.9883419616743","699.7023849853538","667.9165376342784","635.9518417175295","644.4335831848165","610.862356243898","604.0764166381856","615.0587128234877","597.5596371032732","540.5972960815467","556.5791914245634","588.4533782897977","614.5244936645537","609.4354149353063","626.7561413146998","653.0050914489759","649.433720971683","620.0593425964379","617.4704792358411","555.5076947326685","368.2809487365727","509.7948416503932","510.9556074646025","421.5839234252927","167.30885613403296"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1033.6111541809091","473.93630936889724","411.6146260559091","1078.71816659546","1247.0904816833513","782.6140562561062","921.9224853027346","616.8034666870127","832.7960694213898","525.9905962646503","618.7607200927747","1350.478086541755","1404.7078487854044","711.621138372802","684.2961944641089","738.3087860900921","779.7371572387743","922.059553552254","850.2775626098702","829.7385569458088","828.0426195434637","828.4882933227588","874.1145239929258","891.074610992435","879.7350243347196","866.433838104251","845.4514818969775","875.5420959655801","860.6317979431199","810.9888534545963","819.0238717041054","864.1121814331093","855.5409461242726","921.699411505126","1382.7763995361436","993.3090577209479","1009.8259561462406","994.1909999206617","1250.3396165771487"
"1.7. Formação Campestre","3285.9890283447394","3468.1456179138295","3014.4426949585113","2951.49795399783","3439.238290368674","3441.384052624519","3476.3819061218305","3479.0484085754556","3368.049884887718","3387.4299627258624","3622.8913879699794","3223.2885501831356","2442.50533972776","1556.08038442993","1244.358542480472","1513.843394250486","1673.3220046447634","1663.5878997314376","1546.6098874145455","1440.3482175537097","1395.0745508239734","1339.7129509277372","1081.9251456909183","728.5967451354969","537.5151555908204","606.8089033020002","649.4032281188943","642.974877526853","647.3498310302706","947.0159415832491","1043.5407395385716","887.277169335935","639.5803356079083","665.2960709472636","1277.850402856446","1148.1081139343228","539.756107916258","294.7414114074708","22.591239605712875"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","78.39131405029308","128.03305368042004","119.72949630737317","167.675029650879","155.7108957885742","161.9608828735353","163.12168734130873","167.49650794677711","161.4255398681639","161.24696280517577","176.33622312011684","202.9433319458002","236.69313587036066","198.9255722412105","232.49749940795846","189.9995780700681","186.6070528503418","179.46348228759717","178.48124306640622","180.53564735717774","170.44662442626944","151.42913259887695","138.4824286987306","164.46463997802735","153.5722385009766","152.59045975341817","141.4299516723634","129.1082228942873","105.98349735717791","130.98332402343758","127.23421878662138","107.77059443359391","130.00233162841818","124.8240337585451","147.8588921081544","146.42996522216802","106.16245629272474","111.69752382812514","113.75191231689467"
"2. Antrópico","43956.691979234936","48502.97401513268","52925.42069001223","57692.12156954894","58456.304454331366","62470.68873062728","64508.08358565436","71072.68362453327","75004.11787579062","76080.43637951644","78452.36837483839","86247.89822922484","89217.78570273801","91625.38492864715","94118.20510605889","95199.92342751496","95894.29013527755","95581.42439802791","95063.90702826029","95411.65715117112","96341.68167863016","96786.49526020823","98402.58935526274","99930.46653607184","100269.84604229298","98593.97738227497","97894.46324712568","97567.93836794738","97668.91950758494","96867.61635203","96792.18331592188","97747.59108144198","97940.08222608178","97525.06175060777","95765.10600396857","94923.46238845086","96847.27813759918","97979.37588333855","103653.99203583745"
"2.1. Pastagem","43810.07067144075","48340.189940993274","52759.86850698611","57522.72970534606","58286.46606280305","62294.4210726805","64324.58314319831","70889.62966257648","74818.65291015951","75895.50714311507","78264.49259267286","86055.37912937743","89022.2305629675","91430.63347080414","93922.82860514947","95004.90410019564","95697.93141247482","95382.56544987118","94860.04761726786","95204.40464091722","96134.78629731302","96578.61769893504","98193.01521147611","99719.73145673834","100059.64669491138","98379.84918383136","97678.9957457768","97349.79194844664","97448.45147219676","96645.36235553342","96567.1611612832","97515.15761834993","97704.25560497583","97288.1635949254","95525.52910821662","94682.09962065912","96607.61183358307","97740.78115246698","103413.78999785529"
"2.2. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6250959350585937","0.6250959350585937","1.339491467285156","1.339491467285156","1.339491467285156"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","","","","1.2500828369140622","1.2500828369140622","0.8035799865722657","0.7142933410644531","0.4465251892089844","0.4465251892089844","","0.4463817749023437","1.696520391845703","1.2501386169433595","","1.1608924682617185","1.5180902282714839","2.143180822753906","2.143180822753906","4.286085888671876","4.286085888671876","1.6966737487792969","0.625090594482422","0.625090594482422"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.12. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.13. Área Urbanizada","146.62130779418905","162.7840741394041","165.55218302612278","169.39186420288058","169.83839152832005","176.26765794677698","183.50044245605432","183.05396195678674","185.46496563110315","184.92923640136686","187.875782165527","192.51909984741172","195.55513977050737","194.75145784301722","195.37650090942353","195.0193273193356","196.3587228027341","198.85894815673797","203.85941099243135","206.00242741699196","205.6452984802244","207.07398128662092","208.85985044555645","210.28855414428676","209.75282219238238","214.12819844360308","215.02111957397432","216.4498991088865","219.21789677123994","222.25399649658107","223.86126217040942","230.9153728637689","233.68344028320266","234.75497485961859","234.66571392822212","236.4515859680167","236.63013880004792","236.63014880981356","238.23745592040896"
"2.14. Mineração","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.15. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Não definido","0.9822182373046874","1.5180536682128905","1.160816662597656","0.1785984619140625","0.089305908203125","","","","","","","","","","","","","","","","","0.5357577941894531","0.7143436889648438","1.9644500488281247","3.0359716674804678","5.000409863281254","5.357580560302737","5.804045434570315","6.51839218139649","6.786267773437506","7.2327305358886775","9.28646687011718","11.608173907470693","17.412224792480462","20.180197595214842","40.98436806030277","75.004565777588","79.73705241699234","300.9930685607922"
"3.1. Outras Áreas não Vegetadas","0.9822182373046874","1.5180536682128905","1.160816662597656","0.1785984619140625","0.089305908203125","","","","","","","","","","","","","","","","","0.5357577941894531","0.7143436889648438","1.9644500488281247","3.0359716674804678","5.000409863281254","5.357580560302737","5.804045434570315","6.51839218139649","6.786267773437506","7.2327305358886775","9.28646687011718","11.608173907470693","17.412224792480462","20.180197595214842","40.98436806030277","75.004565777588","79.73705241699234","300.9930685607922"
"3.2. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
