"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","44933.134329583634","45137.06175067183","45051.872538818796","44974.902080182226","44728.45174404328","44535.57861440459","44344.49055648781","44255.90944020977","43659.87432406094","43654.07112358487","43940.61771355523","43928.025747673935","43764.26299354802","43360.92437243058","42771.67321703675","41580.855135480015","41173.14132063687","40835.25471727239","41198.31332341303","41264.03521350713","40685.94232821045","40151.33696680273","39283.495445550296","38082.595153203","37465.13155107279","37119.203794847774","36643.440958494575","35938.20094676352","36041.60188694982","36199.03122564072","36322.52915228176","36095.83184018493","36006.02535684047","35776.02632899173","35581.82885056159","35575.58350499176","34628.553456738904","32790.546343975366","28118.290712023907"
"1.1. Formação Florestal","34412.824983184706","34932.06070487727","34880.17905715992","34683.819515301875","34363.886037762735","34286.02302585478","34141.634177490094","34097.165623608336","33566.23067051494","33542.30014978132","33816.254151946574","33815.00427444414","33673.21019686837","33283.08599836457","32673.920798677387","31507.39385770913","31097.893654468648","30737.68246066843","31111.812842553685","31094.665647759983","30546.399886077812","30011.435348528983","29120.82257551859","27997.34545172601","27411.223973588858","27062.082786968153","26559.709559355222","25920.013176322987","26015.735815239757","26186.112396960296","26282.464697954565","26019.066996990558","25887.378035118298","25621.659843249603","25399.156117919996","25423.98605930693","24506.96105890562","23030.15507143495","18637.312265631033"
"1.2. Formação Savânica","157.52087431640604","159.48546420898418","156.44930853881806","131.71348395385698","136.17831394042935","131.08836831664982","125.1054387390133","135.99977020873985","139.03593663940393","135.37474442748993","132.16021478271463","124.30209141235333","112.60392382812479","101.53100745849592","110.46061417236285","125.99869359741184","129.21340652465773","118.85489049682563","116.44407357788063","120.99801527709934","118.05125341186489","113.49718094482388","99.92407151489238","99.83484736328101","109.8362450500486","115.01541977539034","118.31927882690385","121.17693768310498","111.89020520629862","95.5487032592771","100.99572484741192","97.51290847778303","98.94160433959934","100.45954470214822","102.51324909667944","100.19148194580055","71.88419320678678","38.308444708251955","25.092432257080105"
"1.3. Mangue","210.03874645385818","220.8443351623541","226.11315277099666","236.56149217529253","229.86387066040095","213.52169844360293","173.3358969726566","180.6587771179204","226.20265998535194","232.54305733642528","212.09283392333938","207.80636395263747","208.16352308349678","206.10972706909257","199.41206442871118","204.591518817139","216.8258854125976","246.20614190673948","233.9717745544431","213.34295819091818","207.89550006103582","231.73920292968742","240.84799922485328","251.65348816528436","250.67121501464933","212.7181526428219","189.41031767578184","157.44015200805646","162.7982895751955","181.64110654907253","186.5526797668462","197.35825142211928","221.1124703918457","230.3998942687989","220.66595741577157","218.3441244812009","216.3794790222162","239.3300730285635","213.61112245483355"
"1.4. Floresta Alagável (beta)","1734.8217186828365","1833.6746763732658","1840.1945342895242","1734.7339963989086","1734.4696241882125","1754.8287622009113","1715.0905377685306","1736.9671390929916","1744.4710985473353","1712.32452779539","1733.042757226537","1764.2952572143265","1758.1336282897648","1722.6820418456764","1704.3767267272667","1686.518609216287","1736.1677065246386","1752.9533087096966","1707.3220458312821","1594.8978845458762","1526.1426083007584","1509.3538277221458","1460.0621829589577","1552.5754068786373","1578.1157235778546","1669.4645690246323","1656.42675736692","1570.7049246947968","1582.309134204074","1627.672175646946","1583.1141354491924","1388.0091458434867","1423.2801583068585","1500.0687372619457","1457.9184262817182","1504.2654914611583","1310.408502923566","930.184678460689","1361.5946572692735"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","4841.698923461906","5092.996664221076","5000.648815216008","4269.923155859356","4976.96994365234","4925.812085650608","5424.8102587157355","5439.811968524083","6002.117339013579","5806.9015014097995","6300.46010061014","6020.244245666361","5556.880647515854","5960.943297241103","5098.850135131821","6277.069499938902","6243.948073297168","5708.519953662087","5691.096914648429","4669.169090112364","5651.904356036402","6166.150917864865","5778.504663604744","6333.686565295393","6385.744203338455","6621.517850732448","5935.241483789067","7436.168550390519","6356.09694205924","6106.241855767873","6540.142104772801","6204.709837133614","6406.262299419987","5032.858300854412","4867.669823730439","5037.609933886709","5126.448376177965","3885.5556840271374","4195.8766607544"
"1.7. Formação Campestre","242.17209725341786","299.6814321472166","287.62493107910177","199.6663034790037","237.61879020996068","193.0589548828124","231.0081147888183","204.75472647705013","266.9081787048332","215.4731494995113","250.38552790527316","236.8121228759761","229.8480972595209","252.26226629638617","230.56200186157176","246.90391842651326","229.75916654052662","211.7214461364739","222.52643999023357","165.1070569885251","200.64846373901358","223.95435722045843","162.51707895507786","214.57984218749968","212.16841331176656","243.4234170532215","186.4510258605953","286.2846403259276","216.7223739501944","217.1684137023914","230.38501556396395","223.41841314697172","225.4740138488763","158.40999678955038","171.2697262329097","198.59471675414983","177.9668449645992","112.69027798461899","43.30879710083007"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
