"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","404074.3094372141","398441.3938772947","390138.4959108462","368154.5617669078","325005.7448947105","323388.81754946953","329329.73609830573","293413.9004217645","272584.8515459654","262570.2556525474","266320.19983344234","263576.1833320594","257726.7667913392","202750.34561392423","198565.0618965357","222356.9741921443","227801.52387126983","220396.82637514782","199681.16671485762","193768.1745437766","188794.1450602123","188600.09407652903","185525.68941782406","180284.69300676446","176190.24574593434","167592.44101623347","156578.6471457555","139819.06337985912","134290.97549296013","141851.57564105873","148484.1686918813","151310.14279959665","158257.50399755608","157273.8761860549","162649.85296576613","166590.07107031957","163365.47225472933","129744.17558133649","101717.19246723478"
"1.1. Formação Florestal","401927.25939035136","395689.76037797827","387188.7737001223","365573.95163460803","321947.12317783426","319536.2822062383","326055.830680337","287320.0147916437","266442.3721439208","257382.22538622664","262760.30405379756","260217.69344025032","255064.82398009652","198883.7899477072","195693.3776738612","220329.3755718501","225962.4970965384","218529.62548896618","197875.16322710738","191993.28693255835","187044.84411653556","186767.3363039155","183675.6566259112","178360.13308454765","174204.4267581658","165670.91816788752","154695.19385032094","138007.85277808303","132365.24084090325","139991.2021785343","146773.87913232317","149591.74473276318","156512.61707317867","155499.2969681899","160145.93219498364","164589.47673436985","161462.77399042883","128168.1167519725","100256.64418921355"
"1.2. Formação Savânica","477.7366345031737","477.73677608642566","405.605972387695","278.9925956359861","335.19188118896534","313.5223509521489","288.91054002075225","398.61029194335964","399.7292529479982","348.18855653076236","238.5398458679195","78.70961191406236","37.43939777832034","69.45445391235353","56.52851896972657","41.99202887573245","28.25855435791017","22.730667675781266","14.797223504638671","5.972900677490234","9.0916190612793","32.805802197265635","39.580505895996104","51.43753394165039","51.972284796142574","49.4756829284668","43.85867850341798","30.218557202148443","27.81085493774414","35.923102996826174","40.47019508666993","49.295702557373055","52.59535446166993","50.63427969970703","118.39048705444326","115.80709340209954","34.23757562866211","13.106198168945316","1.2481919494628908"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","980.8761398864656","894.173829541014","919.5967037048339","898.0974396484359","832.7026645507797","773.3843672668435","795.0607210571253","741.6328433776835","632.9815977294908","612.5522226806642","636.1004117370605","626.8258171447748","650.5536128234866","505.6857921081562","537.5323604980488","695.9563141418473","679.3650194030777","628.2504047790529","659.8277210998532","707.193140429686","735.3816033691382","720.8404766540511","708.1733540283187","681.0551338500978","681.0541800353975","700.5902500183081","624.4997798156738","477.940722296142","654.564482678221","754.4705483581525","785.60077693481","785.5997437377906","807.9899808898922","801.7461168762175","771.6001402343744","867.8472210266058","870.9695466125424","437.08355296630856","134.50948695678687"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","245.13417203979512","815.4977411804191","970.1395116333007","735.5990263244632","1389.2546346252439","2205.6344055725094","1504.378981915285","4217.970125439408","4419.871958984315","3644.0649523131924","2064.8346433776856","2040.0165143615784","1338.4393499267549","2662.27978865356","1574.106069403073","724.4870091857889","638.1947336852999","717.9295704833958","687.8536117675761","622.4762503356916","585.9164248962386","640.8536794982895","670.7181010925278","742.7707846313463","777.3689707031233","745.5239870910624","804.499936346432","916.1948124450703","887.1817666381821","707.6433183288552","568.8691847961428","580.7263852600096","567.6968776794448","587.3174306457537","1241.2492628234836","652.9148515930183","634.1890717407233","700.758353045654","895.3465101684549"
"1.7. Formação Campestre","29.680084472656247","49.026669921875","48.76149671630859","54.28408779296876","166.45546920166018","104.29608344726566","86.38339638061521","125.87088135375978","184.9768280090331","196.8340571777343","141.20357411499026","129.78934830932613","128.81411308593752","229.9998474792479","174.9805030151367","118.5533162780762","77.28616499633789","72.11102554931644","92.88423262329101","86.10209964599616","85.74872529907229","93.23877951660158","113.11903508911132","115.87951300659178","103.84097163085934","97.69014986572262","95.72832337646486","125.23378213500965","137.35764219360337","117.29779996337884","107.4070632324219","105.35378543701168","98.93757283935548","101.07601481933592","119.97093583984369","123.98046582031242","134.3188509887693","123.35777825927742","3.388063323974609"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
