"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","342228.72535094316","341546.9573691333","341103.2922575411","340833.2764480351","341318.8486104479","340664.9191908636","339231.67148155853","338057.12344742747","337504.09434980666","337437.489187871","336415.46128510224","335599.6529374101","335607.3129134657","334834.0377346469","332734.46354286256","322062.7213113209","320333.9982769164","317745.44160004833","315412.9961137478","310582.69077510247","305524.7523682522","302681.97551707196","301334.78734149405","300275.8477102785","298942.2686048438","297929.88565496943","297321.31975825253","296029.7324825395","293976.1996393414","293078.64571240335","291101.2253076252","288732.7085110537","287475.7772750888","285759.4322612847","282300.94551394385","277619.8561493077","275736.91431644926","272846.01116553444","266637.1615964086"
"1.1. Formação Florestal","18312.14594859633","18318.805422546502","18575.15138574227","18584.917031860452","18660.56228409422","18979.64060586531","18922.036797875877","18712.416945587054","18978.541415185467","18837.0532019042","19517.71803234215","19654.66582578702","20438.168180609027","20944.56962456648","20850.047571417228","21082.24967363253","21132.484319030424","20938.611436639032","20854.901754687147","20293.88038713377","19904.151260162223","19803.583719933777","19709.297793023354","19703.097848131987","19789.41551173051","19584.02691448933","19930.78190661003","20413.900654504087","20620.34832257072","20638.90985722652","20710.54804251091","20495.96429067379","20454.50094043579","20305.512310558977","20238.76427866196","20132.50433601671","20019.120998431266","20203.511919665434","20340.190859966802"
"1.2. Formação Savânica","298487.5204116974","297909.9716836229","297172.4216459197","296585.0046643318","295619.9059993761","294514.58828523697","293522.10691636126","293064.43584827636","292781.7735313079","292495.5847813714","291000.3832625261","290406.8333000752","289913.62329123064","289263.5103828406","287397.40740913484","276812.0103354671","275096.19865787425","272317.5320502503","269481.11509351555","265208.020090575","261223.78512536298","258874.53249829783","257798.38216087307","257026.0757342351","255939.005496104","255132.86933147119","254020.59215694643","252228.71929515564","249698.60751976134","248631.06957426853","246835.00145526938","244801.11754807166","243365.20106424295","242010.4763761043","238837.75553315185","234770.34126985824","233248.5118864932","230301.4847332222","224218.24149403392"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","7765.250125775303","7753.622366400302","7584.962650293089","7514.57144284677","7469.304541876264","7399.176477056926","7385.691735174606","7377.615189068625","7264.3296162048155","7259.357105053685","7193.577126470998","7167.034978283803","7055.623454327454","6873.3796147461735","6829.972778381368","6803.251830493153","6819.31101854249","6907.191056457625","6940.568547412164","6952.727846612582","7044.603138678033","7013.618088879416","7134.618319238297","7083.306292450001","7051.705582452461","7043.556519268904","7023.582111572377","6964.807865850929","6950.681916272063","6940.382377044746","6911.26256463631","6915.166654852366","6920.313034014963","6943.831831634576","7014.226264196835","7079.119178204403","7107.793003338661","7124.763351196303","7251.089158923391"
"1.7. Formação Campestre","17517.448198950016","17409.49975024397","17620.57849141243","18009.25204769237","19398.56518490598","19631.89276702821","19256.62435039021","18766.31435652424","18362.009858983474","18733.108807586123","18598.228877276182","18265.920256915222","18104.54786487432","17659.978789996094","17561.15329250456","17273.852138524915","17199.613459099826","17492.255770611304","18051.52739445133","18038.212307482816","17261.11809200435","16900.564817364473","16606.360670196522","16363.312592413311","16061.464547662312","16071.594381878705","16232.644966009508","16307.077023699978","16603.397313018802","16753.2326807495","16520.13697986436","16384.030894860658","16598.53505780016","16365.400741552477","16082.90756654648","15516.454404181002","15241.646913763538","15069.617738159443","14665.654080780629"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
