"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","127337.40437382842","126129.35324365046","125156.02961281665","122851.59232322508","116640.19419194637","116409.8918395934","118840.51592619286","112648.51988299361","107072.93090482547","106458.65998382834","107419.21282335525","111425.59971195842","113565.82601440481","109644.64398717525","108299.14910569778","108220.80725849247","106530.24484348911","104303.2819208665","99891.50999396553","98859.26803799195","98781.15216724214","99313.06936494414","98727.06594870535","97011.45381993396","94775.66711486026","91707.91113890226","88657.35998687924","84923.76453250991","83133.16247515568","82803.36875244908","81357.77632678936","79279.31425253837","79197.7850139791","77353.799811561","75458.33185292946","72702.16157186685","69634.80779546716","62871.241375892045","55365.39160017454"
"1.1. Formação Florestal","126695.53937716705","125555.37805035822","124636.84992513356","122329.82874926267","115897.88362311092","115779.22844382924","118351.44222768823","112191.07919755661","106611.82249095828","106074.00430256614","106992.14562435012","110996.22172715008","113090.83209474539","109102.2796317126","107766.67907510696","107772.36074220217","106124.83317669223","103904.99913325055","99497.76789881173","98447.43659505981","98361.56889352998","98888.14002370878","98284.67408134085","96523.35315055531","94286.14155332462","91295.99107298428","88271.10044560726","84608.42676354018","82838.7644680634","82524.56282362218","81098.12587821759","79025.01036269462","78939.20498053794","77096.64486878755","75188.43496729105","72363.39009866127","69261.9986207235","62559.47356402681","55038.57158373167"
"1.2. Formação Savânica","9.534725952148438","9.17826885375977","7.039729919433594","5.792173504638673","11.851900909423826","11.94102873535156","9.267518170166015","4.900990954589843","2.762341705322266","0.9802480590820314","","","2.9407016967773436","4.277370971679687","4.188235363769531","4.366466705322265","3.9209406982421866","1.4257701110839844","","0.08910989990234375","0.8910989440917968","2.8515801269531247","3.8317723632812517","6.326821490478515","6.148607904052734","4.901108990478516","3.9208880310058576","1.1584493225097656","0.6237900146484374","3.1189285583496096","4.455607287597655","4.366509320068358","4.990288031005858","5.346737451171872","5.346716650390624","4.633811474609374","3.6535973754882822","",""
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","275.67163357543933","184.08017464599595","93.7336518981933","83.39767553710941","330.0477796142558","226.15230961913974","92.13624429321314","68.07679217529295","140.6145132019051","95.07853643798828","94.990467889404","58.09718012695313","79.03431503906249","161.01514037475576","135.3497031066893","120.82341003417952","123.76299191894522","135.8810551818847","161.45531503295896","190.32348276367125","202.88548901977487","241.55367830810525","258.39254815063424","273.2721235046378","276.3894671142568","216.7810912475577","199.76245776367156","149.60370303344703","151.9201771484374","133.565839666748","136.14973282470675","131.87195361328114","133.83217498168935","138.64455866088855","148.26803874511705","210.54935664062492","233.71590917968712","131.95781513671884","81.34660583496088"
"1.7. Formação Campestre","16.305886328125","22.098258740234378","20.672470574951177","21.563435980224614","36.62261398315433","32.43451846313478","27.266095867919915","26.553529754638667","49.18585996093767","53.37406177368184","43.12685942993171","44.82003071289069","36.443771160888744","42.3252786132813","45.26597030639657","37.42429660644537","26.731480352783198","27.44404188232422","33.76876611328126","34.035995025634755","27.88949544677734","27.088303912353513","28.335785705566398","26.909918212890627","29.67195632934571","28.15683123168946","30.741045013427737","38.045887677001964","42.322608221435566","36.44161752929689","30.02796387329103","27.711005682373052","26.909217810058593","24.503477520751954","23.167173754882807","26.107515484619142","40.00816546630869","40.899311041259864",""
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
