"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","505938.5415367967","505489.11331121763","505457.2775083826","505479.99228904623","505468.08858439187","505217.36083944817","505313.50547885866","505509.2111816449","505484.6024356273","505184.56815516326","504604.67142142716","503884.9613961876","503398.9770292216","503401.5769558305","502938.1241864133","502927.3546712779","503032.235145246","502829.03299885424","503032.67915004544","502122.2705305003","501348.78940411855","500483.37492902717","499756.5401718037","499678.90010193066","499507.0543067609","499731.933588812","499304.4542779583","498805.9035125411","497283.6946176656","495546.5049913644","494651.49191772763","492840.57237743144","491492.8613245867","490451.01396732073","487232.17606170574","482594.4861890887","480387.568580936","478107.83811620047","470395.6916980271"
"1.1. Formação Florestal","78571.15535077432","78513.18264058144","77828.96444988949","77679.06022346723","77823.2614128899","77889.05273662035","78257.92036136978","79418.77539970516","79426.88956197933","79335.39197884948","78821.84880580839","78209.83288667435","77489.08035754341","76953.50630474728","76107.43525289804","76261.18377036018","76948.43971829761","76676.18785947216","77146.77158419143","77083.36806946341","76723.84007111755","75930.93774748452","75272.06174832679","75161.6277656126","74963.04875918594","75465.10315382015","75165.52359617321","75257.46690400907","74698.69215183644","74749.57706318863","75213.05694206487","75123.1036262019","74869.5374684078","74425.11538149387","73087.20407063694","71948.377552277","71679.02229684449","71397.1757391471","68597.86516074814"
"1.2. Formação Savânica","331154.6678709992","330771.924555381","331456.1189154914","331672.1871690495","331579.63904318534","331247.7294396846","330953.6675420776","330017.6614821449","330034.36069019843","329839.8573259758","329696.60720020515","329548.45954851864","329774.94602932374","330253.71414995805","330678.3377959338","330534.02549066773","329947.9296672355","330025.1601942566","329737.07082943845","328932.0159127743","328634.2334040134","328683.4086328467","328713.66471458814","328749.75244719855","328735.8706297385","328414.542808403","327935.96936607844","327310.09690651536","326686.2896400218","324688.13845413807","323180.5857469009","321616.3895896862","320504.89065513975","319544.6095831028","317716.58090297465","314700.89908137167","312773.65599726106","310874.6614307139","306911.4559197849"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","4595.917886120616","4582.6709598816005","4498.76168988649","4446.150500500498","4385.174850878919","4363.487418334972","4352.37590921632","4314.337714135752","4269.9852397583145","4231.943962921148","4269.450328570565","4272.911533294691","4272.202586224381","4282.608553112815","4203.866231060809","4212.122581762705","4199.669518414315","4205.984867285164","4219.58442183839","4173.547498498546","4149.3776849182195","4079.7059312072824","4026.724425775155","4045.8365561096302","4069.660834240738","4091.9686113830685","4084.773906182877","4080.59970260621","4031.1615823608504","4123.419717608651","4266.532479425065","4263.065063159193","4270.184384509295","4270.715105212422","4280.309618499773","4313.63436284182","4330.873049884056","4397.707136553982","4396.256361291533"
"1.7. Formação Campestre","91582.2267278833","91581.60407157839","91631.30116441891","91644.01929025505","91640.10576557241","91674.16024331289","91707.85407389757","91721.90406609727","91721.27949518661","91744.57665585558","91787.07761413796","91822.1155869101","91835.28284720062","91886.32731353362","91928.84172515469","91901.80252206638","91920.37562977511","91908.27910351777","91919.74169737745","91924.27290988971","91832.0944220723","91781.50098448082","91737.68964652916","91715.81705591027","91731.89702888993","91748.23221063423","92111.43290929792","92153.02970635626","91864.97398844162","91982.43682784624","91989.00591546226","91837.39186156778","91847.62657971344","92210.12944276923","92147.63701485198","91629.44172907285","91601.88378274113","91436.51591946563","90487.71409566786"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
