"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","395724.499314189","393193.5619454483","395613.2192288318","395402.53656565596","397791.96158745926","396381.4617998148","393587.5054412115","392119.4059137169","389171.4928056884","386931.32046720054","386084.7919215851","383694.7855027085","384267.1588843424","385701.6002371369","385487.21957818215","382409.47781866026","381430.2027312453","378982.3361692021","376925.69981261884","373085.6921495104","367975.16450208303","363839.80819746386","361207.1220486539","357966.306373343","355085.5968554549","353530.3320438786","347762.3347828909","344380.905189951","340143.47096461273","338502.899832157","337149.6624933718","333691.1950083051","331948.9564460709","326061.69059312856","320823.3714020343","313921.1454275972","305203.72996989405","299457.3603475153","288470.04814609175"
"1.1. Formação Florestal","370489.65144611645","368091.05392080836","369733.37366548943","369267.8391737613","371650.3995159868","370265.0252944678","367317.45806203655","365646.31784851896","362875.141764221","360262.16688281915","358810.6887556794","357011.2922851121","357705.4759073893","359353.05075158994","359110.93444364826","355414.6533320329","353559.4268747205","351002.91250369896","349003.8554522366","343974.3004082259","338525.9028871962","334312.50551263074","331559.5070405296","328697.90289862343","326629.12381418876","326691.01350453554","322187.318144152","319716.5649939548","315593.4823023141","313980.03468020377","312520.1965140261","308974.7006328045","307894.40868584736","302526.4562136788","297714.7592686114","290758.4987536531","282932.3442182887","278174.2251447931","267094.6289321757"
"1.2. Formação Savânica","16509.7832810609","16418.167635589627","17260.56399113786","17523.703620648328","17520.228542779823","17508.911644977077","17655.21463677993","17888.91155546891","17746.488052911467","18077.76494968896","18617.12348665156","18027.5811772827","17974.393713403322","17772.400042865047","17801.918017828568","18494.87503356333","19399.075559906112","19474.484821057355","19440.609446374634","20572.93892952304","20845.661639551083","20856.237864953957","20938.76497912032","20498.775487909228","19687.20508317289","18182.0756483702","16969.194661627113","16140.147680719056","16046.915869915802","16040.737193023779","16113.387380926537","16216.820650695905","15579.03250682999","15005.44582354151","14578.732619049095","14591.057808508327","13778.650216638254","12836.552356372076","12663.665077539064"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","150.62498773193374","116.49048920898446","68.89705544433596","64.7971827575684","65.50992992553712","63.46044020385745","59.18424395751954","60.69988173217773","57.401730718994145","56.69023806762695","56.95792841796874","66.40551269531252","77.0118060852051","91.80566764526368","96.26090582885743","119.34354727783199","136.0106252258301","180.83563818969714","191.17442964477527","215.68100330200198","247.85440698852517","284.1237046936036","287.1526818298339","266.653358416748","250.52248473510744","233.0559975830078","227.79701883544922","201.59689608154306","213.63087066040035","236.8911340393066","287.50763836059565","331.8822110656741","357.90270044555723","390.33963609619184","395.06221507568375","400.05420054321314","389.5466673522952","289.8294314819339","206.32074925537108"
"1.7. Formação Campestre","7835.662409551959","7753.583814147939","7739.950088403324","7725.780252868677","7730.326764019782","7719.992471832317","7745.747500616463","7751.897874859628","7758.402213458279","7786.561346765127","7843.328414056398","7833.347823541246","7802.692707769777","7785.050687402357","7753.324181146256","7745.839896514893","7733.4551755004995","7732.386336810313","7704.495130664077","7713.320726141362","7760.647107250983","7781.768938140893","7828.821176757848","7890.579765911892","7908.490897753909","7849.4893295105085","7826.1424979492585","7800.300084265175","7813.671244073504","7783.905296417267","7784.43988715824","7743.888740045188","7694.246483276389","7668.845389727801","7658.154525585958","7651.649346282976","7602.640535095257","7618.770753778115","7928.232162567177"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","738.7771897277836","814.2660856933591","810.4344283569333","820.4163356201166","825.4968347473139","824.0719483337393","809.9009978210447","771.578753137206","734.0590443786623","748.1370498596187","756.6933367797851","756.1587040771487","707.5847496948242","699.2930876342773","724.782029730225","634.7660092712423","602.2344958923358","591.7168694458021","585.5653536987317","609.4510823181163","595.0984610961921","605.1721770446784","592.8761704162605","612.3948624816902","610.2545756042491","574.6975638793953","551.8824603271489","522.2955349304204","475.770677648927","461.33152847290165","444.1310729003921","423.90277369384916","423.36606967163226","470.6035300842305","476.66277371216034","519.8853186096212","500.548332519533","537.9826610900894","577.201224554445"
"2. Antrópico","40108.14707502916","42775.14990625516","40450.044977416386","40679.97666322658","38304.36317301041","39719.58564033835","42496.517905847264","43960.96322308365","46932.22827323631","49171.33186068714","50018.57286512465","52411.252950634764","51838.701706183085","50404.17023721978","50618.72891292164","53687.558556073265","54666.03164005756","57126.10818338503","59179.002113847404","63016.78237471235","68120.00204666037","72257.6764992424","74886.6189067806","78118.16639084416","81007.34212436547","82580.51995987413","88361.61676217397","91746.87809353463","95978.96352710223","97613.56419767233","98964.21732136596","102421.79284586766","104164.20924269508","110053.61389245462","115297.90373963975","122193.80234155688","130909.61387411028","136646.44781195736","147381.6624065122"
"2.1. Pastagem","2028.102236499023","5182.910108508331","7653.650147473106","9987.178654724046","11509.06666547854","13084.838411004805","15052.355945623816","15656.19881983043","16311.095606573645","18280.515724585064","19357.301472180283","19261.48270338157","20862.97739471464","22731.19874751612","24164.97961609523","28129.82628251362","29984.95862914442","33368.3643085803","37334.49920571738","41664.9072023792","45626.50692589588","51671.45053504541","55836.322114861505","58267.12001051569","61434.075868573156","65125.592640275696","72346.4950791355","75359.97555109682","78579.19384801273","80285.74643262086","82706.49883962139","86777.63680620676","89214.69957556848","95461.16663022307","98675.90426813686","101044.14545668132","104413.25888008514","108525.29320751358","112211.94516592905"
"2.2. Soja","","","","","","","","","","","","","","","","","2.9410791809082033","3.6540677185058588","3.475820483398437","","0.6239588989257812","5.0801161376953115","10.78530262451172","9.627437744140636","8.201170654296885","8.199263134765616","7.84277321777343","5.347398889160152","0.35650370483398436","5.346972924804688","21.03351546020508","37.88013114013673","32.62310861206055","22.10518417358399","21.39199434814453","15.50909176025391","15.50909176025391","18.094064111328116","18.094064111328116"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","8.105216229248038","","","","","","","","","","","","","","","","4.454962304687501","18.889058575439492","21.027446209716842","20.760148760986365","13.72129837646484","13.543100158691402","18.087157965087933","17.64166181640629","13.008496356201176","","0.5347348754882812","3.920660766601563","5.346830474853516","2.673411602783203","","0.6239793823242188","20.7666728515625","18.985364538574228","11.23109533081055","17.292380505371096","17.292380505371096","14.08348843994141","14.08348843994141"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11. Silvicultura","","","","","","","","","","","","","","","","","","","","","0.089105126953125","0.8019442504882812","1.158363983154297","5.70272293701172","17.019039660644527","129.2003966308605","133.12101777954217","141.05188934936626","245.66131427612498","248.33513695678909","249.85034799194528","249.40483072509943","253.14719441528504","229.35629866943535","237.46482463989472","293.95737158813483","359.62765888061205","361.1424419372528","361.32062901611016"
"2.12. Mosaico de Usos","37143.02427965563","36546.029989806164","31713.10716050359","29524.840993146103","25554.608117822416","25330.244211761543","26104.09891486824","26932.436318512042","29208.07397758188","29434.173913519095","29181.278302685605","31625.57047365093","29378.17409993893","25996.813610773024","24732.40396923243","23785.13786811532","22846.981817242504","21877.488638781797","19924.498024121243","19411.192390887838","20538.460747973983","18612.564653521942","17025.9194000856","17765.791821228133","17416.885653869715","15118.712023364329","13628.37363262956","13942.489093548687","14810.904449926937","14699.19943329491","13594.516946960646","12946.727003259564","12218.835428637864","11822.102663440082","13843.992314929432","18301.876153363137","23572.475505450962","25192.19524570972","32222.130801215513"
