"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","10964.705465624644","10700.546804272295","10127.001402862568","9051.823385815678","7560.751068078971","7335.315199463219","7416.7626386660895","7292.579962829905","6871.41292619639","6851.790556073046","6942.97433347174","6648.592634692427","6558.137167297368","6384.710370941183","6034.111284851077","6129.209163775648","6250.002563500949","6207.538669940168","5838.4745077514945","5773.529250762985","5845.435201293973","5883.706852984635","5752.03119954837","5687.439722332755","5488.410497436524","5394.916597857673","5242.543204888951","5097.753559497014","5148.604454449463","5267.613877032486","5429.180851928692","5601.448648815954","5662.4691355346995","5683.701087023949","5528.204535485847","5323.019326025435","4972.423391503966","3815.72962358398","2772.336192858865"
"1.1. Formação Florestal","8033.405449261098","7759.790674926585","7201.8573099670475","6104.8227543764415","4544.345279236177","4334.788475397032","4481.270645575258","4378.766500091836","3945.199673535255","3840.6512746399267","3988.570400457819","3752.5328831299107","3672.6044873535125","3496.5013963012816","3135.0175461547988","3244.3892771179394","3368.661545050012","3340.292909088123","2975.0643885742343","2911.1893792785954","2988.269426196316","3023.9539702880784","2893.259404254181","2818.4088864623996","2632.671650311258","2546.9385281372174","2389.3018701111073","2251.648944702103","2297.4145856811424","2404.1131696594343","2577.18785709228","2745.530320806903","2806.5507990906217","2826.087609393344","2650.5188841491913","2441.498161615028","2078.2345872620194","1039.0280595703052","247.91331693115214"
"1.2. Formação Savânica","32.741035717773485","32.02735363159183","14.987847131347651","7.761667248535153","25.60399717407227","28.191195123291024","23.462987792968743","7.850660650634772","8.38593907470704","24.80135104980468","24.979816271972652","9.635093292236329","1.6950484375","4.014548645019533","3.925339001464845","0.8029227355957032","","0.5352715515136718","0.5352715515136718","0.4460596618652344","0.0892119140625","0.535274755859375","0.446062841796875","1.1597848083496096","1.6058583435058598","1.3382187561035157","1.6058642761230473","1.5166521240234376","0.8029321044921874","0.8029321044921874","0.26763772583007817","2.5871983520507817","3.479338305664064","3.3901297790527356","3.479339459228517","3.0332864318847665","2.587223083496094","1.5166698486328127","0.624515234375"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","1580.5125534485037","1592.3762527771053","1629.3981183288672","1556.8703587280456","1334.2003049072507","1333.754450317399","1467.3919814392148","1476.5825959717042","1396.919837249758","1425.6434722778495","1344.8200065856977","1099.6767202880967","1075.2337012878513","1041.3361215820307","962.8321865539494","1062.3886405029343","1080.2294740661746","1096.017673773196","978.3503967163082","1018.5834225219742","1096.5523768798819","1089.8636624206672","1050.9698110412573","1063.9941737609856","989.7709967834465","1044.8120138610834","1031.3416882995677","929.3765692870979","1117.161389398209","1161.6760828552403","1204.228524627685","1168.6350456421103","1201.6418496093768","1218.23454887085","1191.6506673950214","1212.3452701232923","1138.6594091369786","391.35891105957023","119.89557108154274"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","742.3863829406761","711.7891314575195","688.1485979492206","777.4482583557223","1089.3274980956999","1042.6711930481042","871.1185793457083","846.7622743042066","978.7909590271013","1034.0988815917917","1042.9325938232412","1241.776791662603","1242.0443867919907","1309.5738492492774","1368.9877451110788","1294.677392089834","1271.8405108703569","1248.469630981436","1374.4334536255026","1320.818899462903","1253.0200444763195","1252.3937166565033","1296.2833073852562","1278.530641693108","1345.5277082031466","1294.7689733947725","1316.8031725891144","1419.7495455322273","1254.445945257564","1210.5563124267474","1169.4308991760124","1238.4772402282676","1183.3467025085304","1158.8146724487206","1188.6101337035973","1155.515619915776","1235.714127166735","1917.6235705505387","2157.060671032694"
"1.7. Formação Campestre","302.2360560180678","312.4947740722672","332.65555258789124","324.26989300537207","331.9425721069348","331.5850268737797","349.06958508911134","340.8622851257324","351.03176502075144","312.6730388977069","323.82380340576293","344.3408869323732","344.0733202941893","350.5855021240229","343.53798972778327","332.92240478515606","335.24186628417954","341.3078417785647","348.1767090026856","341.3078140930179","346.1250113464352","341.2187165344243","347.99833748168965","341.21881275634854","333.45793969726606","336.3124212097174","335.06346071777386","355.3135541870116","362.4501898437494","354.5106328796384","363.5204650756837","370.38945759887673","357.632839813232","357.9006868591309","359.68450884399374","356.7410362121579","350.9422425231935","268.6933058837903","31.847534521484373"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","273.42398823852415","292.0686174072254","259.95397689819225","280.6504541015617","235.33141655883716","264.32485870361296","224.44885942382794","241.75564668579108","191.08475228881844","213.92253761596686","217.8477129272457","200.63025938720745","222.48622313232426","182.69895303955093","219.81047830200194","194.02852654419013","194.0291672302252","180.91534276733412","161.91428828125015","181.18367574462943","161.379130480957","175.74151232910202","163.0742765441896","184.12742285156267","185.37634409790053","170.7464424987794","168.4271488952637","140.14829366455092","116.3294121643067","135.95474710693372","114.54546823120147","75.82938618774429","109.81760620727567","119.2734396728521","134.26100193481474","153.88595172729475","166.2858023315427","197.50910667114246","214.99458405761754"
"2. Antrópico","3824.4192676330954","4091.700250073161","4665.780904162475","5742.653889080923","7233.993833386893","7458.002361969825","7376.554922766716","7501.005224665183","7923.331975269165","7942.954345392424","7851.770567993677","8145.170970666671","8235.626438061745","8408.874816619747","8759.206276653804","8664.108397728898","8543.314998004085","8585.778891564436","8954.843053752691","9019.520684276778","8946.455025298585","8907.558914501187","9036.825953130585","9097.759833391752","9294.380440037952","9388.320354515461","9539.087982206971","9684.502111888165","9631.064174339424","9508.129586937339","9346.651805431035","9160.467186357893","9093.737338884894","9057.250379045985","9211.765607970567","9422.660117863907","9759.606532292271","10906.219699387031","11608.379405642378"
"2.1. Pastagem","3637.4315563049704","3890.2602920348313","4463.538045562622","5538.448383197135","7025.238491205498","7215.792746888039","7124.710486078483","7247.376506165427","7668.811171185912","7689.058006226163","7598.409471411645","7891.542254724287","7979.945818371803","8149.090507409541","8500.849300134027","8400.844772905899","8279.426886053401","8321.087889684553","8687.654140013676","8751.88570797673","8676.678983483398","8628.68339224777","8744.212111840303","8787.571747283353","8957.965288670763","9052.2619518116","9234.073983305603","9386.892249919169","9329.171981169256","9199.189617021566","9032.805067119267","8825.120357091533","8750.629090612187","8707.629891259117","8859.915223369735","9067.419781486951","9408.11318706522","10552.496072183661","11246.180710586223"
"2.2. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.719398736572249","14.71939838867186","14.897814923095687"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","0.8029038391113283","0.892115350341797","0.8029039184570312","","","1.4273778320312498","6.869186749267575","19.447767034912136","34.34560520629881","58.78843396606451","51.91927640380858","19.625892852783178","10.080685473632819","12.846456011962893","16.32577990112306","19.80516641845701","31.938121874999958","36.04187276000975","35.68482971191406","36.66576085815436","36.57649273681645","16.236680828857423","19.002210931396476","17.39641090087889"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.12. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.13. Área Urbanizada","186.98771132812496","201.43995803832988","202.2428585998533","204.20550588378873","208.75534218139583","242.20961508178647","251.84443668823315","253.62871849975664","254.52080408325278","253.8963391662606","253.36109658203205","253.62871594238365","255.68061968994223","259.7843092102059","258.35697651977625","262.46072098388777","262.99599660034283","263.8880979614268","267.1889137390145","267.63497630004963","268.3486639831549","272.00633550415006","273.1660742553708","275.8424809021001","277.6267174011239","284.1391263000505","285.38810604858566","287.52917649536306","289.0457371582047","292.6141900146495","294.0415718933112","303.4087073913591","307.066375512697","313.9356580749533","315.18462374267796","318.6638436401386","320.53726566162254","320.00201788330236","329.90446923217957"
"2.14. Mineração","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.15. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Não definido","5.620168206787115","2.4978471191406246","1.9625944396972663","0.26762656860351564","","1.4273400329589843","1.4273400329589843","1.1597139709472657","","","","0.9812961059570312","0.9812961059570312","1.1597139038085937","1.427339959716797","1.427339959716797","1.427339959716797","1.427339959716797","1.427339959716797","1.694966424560547","2.854674871826172","3.4791339782714856","5.887748785400391","9.545345739746084","11.953963989257804","11.507949090576167","13.113714367675774","12.489230078124997","15.076272674560546","19.0014374938965","18.912244104003932","32.82906629028323","38.53842704467775","53.793435394287094","54.77475800781247","49.06545757446297","62.71497766723636","72.79557849121096","414.02930296020025"
"3.1. Outras Áreas não Vegetadas","5.620168206787115","2.4978471191406246","1.9625944396972663","0.26762656860351564","","1.4273400329589843","1.4273400329589843","1.1597139709472657","","","","0.9812961059570312","0.9812961059570312","1.1597139038085937","1.427339959716797","1.427339959716797","1.427339959716797","1.427339959716797","1.427339959716797","1.694966424560547","2.854674871826172","3.4791339782714856","5.887748785400391","9.545345739746084","11.953963989257804","11.507949090576167","13.113714367675774","12.489230078124997","15.076272674560546","19.0014374938965","18.912244104003932","32.82906629028323","38.53842704467775","53.793435394287094","54.77475800781247","49.06545757446297","62.71497766723636","72.79557849121096","414.02930296020025"
"3.2. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
