"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","269295.7577309815","265216.9453524493","265690.0750500771","265531.058412845","264883.0304450318","263743.6295055899","260083.652876022","258563.55964281547","258130.76429889695","257212.8281065341","257152.83806050583","254911.03470212774","252288.84448495918","249585.6914876007","247614.62269722536","244678.87704146074","241427.01108415928","239171.8637370644","235734.30799374834","232650.8518217863","227814.6516590324","224710.27254060717","222529.80567926302","218888.79515834802","216416.41634471412","214666.69004176246","212505.52458307616","209637.27205335756","203972.510395218","199961.05768215747","195471.39855278566","192569.36069464713","188508.09131403366","185840.7314505163","181301.81635623702","176147.10545931754","170885.9308400664","164332.7700189695","151551.01700550521"
"1.1. Formação Florestal","98274.78727669096","97776.07981133393","100440.17835680395","101351.46215175626","102193.10145034979","102286.82974275238","99055.37348385552","97384.4990908153","98584.1501267244","97764.97985289062","97399.88129723114","96809.28977392192","93631.56156776256","92507.46225846812","92348.55541385514","91703.76959018146","90613.38592942824","90225.45501059985","87870.22899625593","85233.05101227184","80278.40841834822","78506.169243567","77189.22596345737","74385.18142290687","72422.42239830543","71290.89699956958","70462.93914006637","69586.69342680389","68384.00462519239","66751.98915368463","65440.30843185566","66418.24757850105","65327.308597207295","64731.860401943355","62456.604462972005","60611.76600296959","58418.278659842625","57867.947358762205","55946.175343815536"
"1.2. Formação Savânica","163373.27284877904","159818.59056150107","157570.01347544478","156596.25548643043","155215.67269603684","154119.27644597966","153690.737102689","153953.6841656843","152384.27279787452","152237.3279387752","152521.46319991397","150880.57032326795","151280.5294218901","149657.46088765308","147794.53146789173","145534.06906490852","143299.26113046962","141639.37217918664","140590.63846896458","140098.93105502226","140192.1332758038","138947.05645747704","138066.93376069685","137171.44098893835","136581.97582414912","135920.50974174732","134720.5253515181","132832.15768125336","128333.302512439","125909.21513600451","122776.65797587381","118965.6755575463","116039.79861601471","114220.92878470564","112131.88308702108","109043.3813059268","106022.63475242838","100141.52060075908","89149.52063771505"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1073.079276727295","1068.6290889648442","1019.9262479797359","982.8693079772949","922.2389275451661","908.2876827880855","908.0222074584955","900.9155716491689","892.3793768005357","897.2651424255363","910.0578043640132","891.922992919921","901.0837999694821","873.184193328856","861.3691375549311","892.032010327147","890.5219103820789","901.8193381408682","904.5745559570305","898.9763044189441","901.3682982543934","885.9938789550773","881.5440342346177","882.6128144165025","885.5446955810537","891.3189928649894","896.3026650634757","890.0769193542468","890.8695848510743","885.4460701416015","880.1958911804203","889.6110434875478","900.5441321716296","913.0741976501456","929.251501922607","960.712075012206","975.5540554748528","981.9475778137199","994.7522027404776"
"1.7. Formação Campestre","6514.346077038569","6495.329332397506","6600.306333349572","6540.731979895124","6486.590006347802","6360.608716772398","6364.092136914001","6260.455923602259","6207.379378875678","6253.249546337994","6261.428692743059","6272.443844299445","6418.3281766969085","6484.378168786603","6554.336600488255","6507.12969057612","6582.942044866898","6364.9394096985825","6329.655414038109","6383.882895617659","6408.863968054247","6338.418918493796","6361.956505633698","6418.527471948363","6495.174646301312","6532.933208404557","6394.637990173355","6297.580448382582","6334.90370442498","6385.333871899484","6342.942734301791","6265.333256115643","6209.945833843899","5942.8635802857425","5750.294803222688","5497.82031464844","5436.5717522033765","5306.061445263637","5423.676900970445"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","60.27225174560541","58.316558251953076","59.650636499023356","59.73948678588861","65.4273647521972","68.62691729736322","65.4279451049804","64.00489106445305","62.58261862182609","60.005626104736244","60.007066253662046","56.8077677185058","57.341518640136634","63.20597936401357","55.83007743530267","41.876685467529235","40.900069012451084","40.27779943847648","39.21055853271477","36.010554455566336","33.87769857177727","32.63404211425774","30.145415240478453","31.032460137939395","31.29878037719721","31.03109917602532","31.11943625488276","30.763577563476506","29.429968310546826","29.073450427246055","31.29351957397456","30.493258996582007","30.494134796142546","32.004485931396445","33.782501098632764","33.425760760498","32.891620117187465","35.293036370849556","36.89192026367183"
"2. Antrópico","41493.10443060153","45573.69889086937","45159.6855202577","45376.9237181146","46024.561048924465","47208.932453702175","50909.453571824095","52543.324196624315","53032.295462151335","53953.8828383416","54008.62965470451","56311.42407819103","58917.36091168616","61617.76434809363","63594.33694424951","66537.7256689374","69736.45500020521","72027.06918109723","75533.24434898699","78611.00084313098","83420.65968395658","86575.19607092175","88805.79306221164","92453.89934877219","94893.65344093164","96588.8110980236","98505.28724439554","101260.5212145019","107093.7747516486","111073.65291499118","115620.02009964305","118698.01062689249","122760.0652107964","125290.20738523646","129722.16672349918","134645.01668729598","139939.86435172844","146529.36049598386","159094.6356187103"
"2.1. Pastagem","3125.936897210637","7540.194998443656","11336.29460258218","14045.809856634927","16416.394502593845","19069.76894579327","22834.204981505314","26104.78933429636","27932.833997205093","29005.551176526547","29588.915313171485","30900.1870670167","32970.109119866436","35501.88938347174","39230.81661626645","43445.3238687012","46752.6467967342","51245.20254196355","56908.64086034743","61150.37643258571","66425.75960938468","71271.52274880909","73911.98190272765","77453.11055371091","80597.91908163011","82752.58712200455","85411.411758598","89880.02753396501","94752.94269192462","99057.91012894278","103732.49736480971","106229.28665778233","109172.04305474181","110664.40493225814","113845.88574455022","116843.67828390212","121408.82734957352","127864.07083668103","137403.62854551614"
"2.2. Soja","","","","","","","","","","","","","","","","8.800249938964846","36.36219454956054","99.98197689819341","284.29486994628917","325.34207462768643","283.72805008544844","254.5982240417469","320.40709961547816","705.4871394287125","969.6212771423341","1011.3469051696777","1020.1552630004894","1244.1989002075368","200.1083600219728","724.2147759704582","2078.617043823274","3373.7771257629397","4177.203808038372","4063.5430938658155","3509.744570849644","2648.090313189741","2648.35913529057","2742.523798516883","2749.096022137487"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0887970703125","",""
"2.6. Outras Lavouras Temporárias","","","","","","","","","","","","","","","0.7997561279296875","4.802269787597657","4.802721551513672","2.489988873291015","2.4005984313964843","3.0204665344238277","29.223747790527398","55.80757691650384","139.7507017822262","98.71798469848618","116.80196940917949","164.03522442016614","322.10092628784224","530.368538165284","1947.9627150940012","1624.0110098022544","522.5481293701199","409.4321343688978","670.8408881896985","1077.908622033687","1256.1694096069261","2119.703431561302","2115.879824407981","2022.603240655523","2021.803140551763"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11. Silvicultura","","0.9773282775878905","1.0661707946777343","37.76156517333983","55.26577009277347","126.80787108154317","125.83167501220711","95.52830474243159","389.1967179382327","371.69015699462915","134.08505202026367","128.30889816284184","124.84426859741218","115.51454755249027","110.18338610839852","90.28098414916997","97.21060520019535","105.91960242919917","115.33861369018554","130.08876071166986","206.3231882446287","213.79056630859344","212.5490023803709","170.1693216064452","305.30237710571254","399.74079521484316","416.26889097290035","451.43207186889657","3105.3278522460746","3266.626378649893","3406.229449627697","3501.6785781555","3981.065240222156","4572.841346899415","5446.6050516479145","5644.008974365362","5677.3546709229595","5676.730569006454","5683.041609515481"
"2.12. Mosaico de Usos","38284.20025096292","37947.2478941469","33735.356290929914","31201.225445714295","29451.791474480036","27906.79948112058","27835.946545934014","26226.69149305305","24593.505095073197","24459.88185393541","24168.24724056867","25164.390148283706","25703.247130241358","25880.844211490792","24129.996727006495","22863.398932737426","22714.44414150812","20430.933528666144","18073.89636587346","16849.056491154395","16318.775876769156","14619.871621795284","14060.78789331577","13862.985862743162","12735.512195959234","12074.82259353003","11138.489519275328","8948.03281507055","6871.461028937854","6182.252781128983","5657.489314746627","4959.687164624101","4532.897086846793","4680.872985992388","5431.791951971431","7154.543270788688","7846.093436041457","7979.992751667146","10985.981848200116"
