"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","675916.5077236297","673981.7548739074","676715.0653018723","675344.8327369869","671440.2434184158","669735.0303676476","667056.4581140992","659530.1790535667","657291.4555014182","647108.6593347471","639671.2618983313","632945.6110159998","623012.1355542073","612862.5247981865","610375.4188134889","615797.3152044002","613426.5117627964","610676.1744044916","598935.5153171056","586909.0464157637","574181.3751075309","566709.4462858391","558736.0840180984","548313.050394132","542836.90312014","541069.1523274103","536279.8140263148","535429.3489120592","536784.2758305694","532079.8877851185","527284.9283227943","523995.74550802633","519801.25735770754","518549.1158156594","512479.846797653","508096.5416592382","502847.82507281227","498842.67443179456","491626.54668957385"
"1.1. Formação Florestal","650284.8249167755","649925.4730686585","651993.8689067307","650243.3015931635","646903.0979156875","645469.6166268819","643243.3132624754","637892.3630594991","637312.429852535","627636.4717366147","620113.7245198217","612744.645233169","600533.708098122","590749.980547631","588007.6216536073","593062.1931943477","591858.9890971225","589924.0540634512","578849.5523762122","566172.516328526","552345.5335650318","544809.0328957328","537142.5918862501","526924.8173690769","521369.0234358136","519792.79704761296","515463.4468130396","514962.18002114136","516427.5466276824","511964.868812621","508397.27976069716","505805.6103914978","501737.1258054247","500378.81289776985","493500.6182657194","488115.6642520542","482286.53810620453","478661.7254870009","471954.1617031909"
"1.2. Formação Savânica","24889.647734570317","23473.73611772456","24227.71017080085","24638.111424450726","23997.19439013068","23758.063376874088","23386.300891516406","21224.598029187193","19555.19774842546","19036.61581861583","19110.217692846847","19729.43499316416","21947.78150513915","21527.027762170426","21812.569270153843","22189.90788916627","20999.434186535927","20153.420590185757","19467.952120526043","20110.418398004273","21215.33485254537","21296.10024414076","20957.933734601","20737.00321962909","20804.985544354407","20615.602865521374","20142.973733642644","19818.886140350238","19743.077331585853","19503.502548455825","18288.937430804446","17598.986707892083","17444.502108941782","17503.682545892512","18256.529369671665","19174.325671515082","19751.45071073613","19531.722718951423","19141.638517816093"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","40.96474985961915","43.54710333862305","45.41754602050782","41.05342958374023","42.47859768066406","37.669865203857434","34.64133439331056","36.60086971435549","46.13057261352541","43.99322077026368","42.38949454345704","38.737780072021465","38.292639465332016","39.36139033203125","39.717521057128906","41.58756937866212","43.01244542846682","45.149782867431654","44.70443119506837","46.57484043579103","47.732776104736345","48.801599621582035","49.0687968688965","49.15783897705079","46.574877276611346","46.48582854614259","47.64375598754885","48.71255845947267","48.97976312866212","48.979763128662114","49.06881133422852","49.15788997192384","49.15788997192384","49.0688510131836","49.068851013183604","48.80165496215822","49.068863708496096","49.068863708496096","45.773699407959"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","512.2887693237303","358.7593245483396","268.7194492919922","248.08656212768568","295.0464726562502","274.73798977661147","207.592146221924","209.19666124267587","224.16418998413096","241.0731593811036","255.67034058227551","270.5309335510255","298.0308353820801","357.97327131958025","346.6617144714356","333.0875986206055","349.82285957031263","372.3313402465819","402.50116191406227","406.0612122924801","390.1324182617185","371.6216185668944","399.92479473876926","412.74363537597634","427.3484150329589","428.14222020263657","446.6583634216307","424.5759292724609","409.4418841003419","406.0588426879881","392.4492977233885","384.70590339965815","405.26596813964824","426.8060459838867","464.5449166870116","546.5204301269529","564.6730040161134","406.55050494384784","332.85739371948233"
"1.7. Formação Campestre","107.89068783569337","89.82525249633792","86.79889531860357","88.84874487304694","117.08428416748052","108.88851372680665","98.46645181274417","83.50284319458011","78.24836184082034","73.97397176513674","75.93308773803713","84.30589666137698","108.62215950317385","107.46423054199224","85.28452351074219","87.06544837036135","83.5032087036133","86.44271215820315","86.53026804809572","87.06507669677737","85.55224754638675","89.82572793579105","94.54650277099613","95.34726481323247","91.60563402099613","92.7633076477051","91.2480266601563","86.2601453369141","76.46328241577152","76.3739833068848","77.08962816162106","75.13217500610348","70.23641491699215","76.02001727294919","87.24046495971682","95.69975145874025","98.46050736083988","79.49984930419916","36.138030029296864"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","80.89086526489268","90.4140071411133","92.55033370971685","85.43098278808593","85.34175809326172","86.05399518432617","86.14402767944333","83.91759072875973","75.28477601928711","76.53142760009773","73.32676279907233","77.95617938232434","85.70031659545899","80.71759619140626","83.56413068847655","83.47350451660157","91.74996543579107","94.77591558227545","84.27495921020505","86.41055980834957","97.08924804077154","94.06419984130856","92.01830286865226","93.98106625976561","97.36521364135739","93.36105787963866","87.84333356323242","88.73411749877927","78.76694165649411","80.1038349182129","80.10339407348627","82.152440258789","94.96917031249991","114.72545772705058","121.84492960205053","115.52989912109364","97.63388078613275","114.10700788574214","115.97734541015623"
"2. Antrópico","57299.80051699697","60192.338728917515","57842.46108177539","59481.890394440496","63413.6303759707","65067.95135275846","67631.5283679745","75054.0910846565","77165.18187808922","87398.15900171819","95097.28223284901","102070.184258727","112101.2137469539","122288.65322988335","124901.41634661841","119462.1498809572","121721.34332226013","124360.13850034375","136242.02393162766","148023.104395249","161036.70976256335","168785.07758387082","176883.2982358531","187481.76500302317","193089.5673112054","194817.3714320075","199703.10454134544","200625.048317398","199370.15204978918","204248.10203218117","209131.10023376747","212590.7167972445","216915.2415955269","218409.29717995276","224572.37371689404","229093.01652308818","234155.18007016712","238006.42987357068","244254.05694161815"
"2.1. Pastagem","11985.574178576557","15947.356708001538","22356.059360540745","29155.19367565322","32524.38594354822","35507.98366315249","38912.06237393141","45129.74309138838","52634.771613654724","60975.45608523251","69474.73145698238","78089.97184576937","87475.40946127273","97884.78036001632","101568.85832379185","96388.10106972724","98717.01183637175","103963.67266007331","118853.78915183057","132163.11151598292","144027.83140773562","152490.83458852806","160280.2404427807","169203.56080746057","175567.10990946","180095.96285722128","185991.8270519656","188842.89575791924","190918.3692158841","196538.0854372043","201322.15707162142","203767.56248606893","206702.67344289005","207065.62744369777","212341.66519050242","215542.1036238818","220364.02968007931","224296.95806347555","229289.60837107387"
"2.2. Soja","","","","","","","","","","","","","","","","0.62281123046875","5.428845074462891","7.832150793457031","28.8334335510254","79.8301106750486","74.67010890502912","54.82196834716794","51.61480543212888","66.47674850463868","119.33599296264642","121.47376082763657","68.61740241699219","77.42540243530274","130.98945300292962","222.1961190307618","411.10642128906284","984.1016880859365","1274.5811233093293","833.752954748535","355.42338839721685","152.79493974609372","930.4661713867141","939.4549263854931","941.7703706603955"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
