"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","227525.69612111207","227430.0622605037","227319.5929827597","227100.85951232826","226956.07756762128","226935.54595630834","226958.3992170694","226954.5866008113","226878.1696145798","226678.91203320824","226379.49476545406","226109.150422054","225954.61786226372","225982.3421764992","225825.88452173237","225609.27139863413","225304.51907549892","224803.41582834686","224354.2488410474","224085.20081080092","223736.3288136434","223588.760264731","223656.5787583365","223970.61263136507","224167.60004684862","223903.54178128397","223315.27785373575","222536.887603409","220936.46510126488","219582.37000610252","218177.5368402961","217152.22130194987","216311.35968399615","216040.32339833042","215188.86789624827","214433.1072812102","214582.5536096005","211723.51809078004","207498.4015760045"
"1.1. Formação Florestal","52721.024935874244","52711.60297975847","52485.55921187556","52114.94748478258","51596.2248138353","51577.32784620823","51081.09804722188","51909.390771793405","51908.537983182236","51463.34003928649","51455.857719102","51150.08416200413","51334.87628560756","50881.38368225166","50476.01707027649","50489.7356453562","50372.43373433857","50946.28964407355","50818.47214948136","50770.37910760573","49831.64470147245","50261.28300222202","49347.56615211243","50412.46946873105","50083.894476641726","49536.94380239901","49568.34843944752","47615.58548000549","48336.49347026924","48817.311897045074","48849.947069835616","49113.008940111446","49207.161346892644","49963.113287755245","50155.63876060752","50139.54865239767","49958.21451581958","50017.613020884826","50008.619400933094"
"1.2. Formação Savânica","165878.54809433804","165818.1975380999","165997.06143357322","166172.67276867718","166546.70321310597","166565.33811837027","167134.81538083992","166391.6921678484","166343.234546522","166563.2972925545","166278.38952763865","166295.6887992405","165936.81369780478","166438.55877318425","166730.12814421707","166518.19363798862","166347.36195765814","165262.26526063436","164900.473846577","164700.32030212702","165287.95811892138","164697.41974897744","165679.04698113853","164927.47095349088","165445.3974809734","165757.9769558014","165156.9707419737","166343.87564373424","164041.12277140084","162198.20465339939","160746.8667544326","159453.5097617224","158504.3639196047","157466.4441339272","156362.20425523297","155579.60001470728","155883.71769064368","152982.97361409073","148733.41952432066"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","868.1478897888153","818.9808507507294","788.5809425842249","785.0240951171838","765.3761724792447","745.5522163268997","734.0949189453077","692.1423830383294","673.834809069825","636.2246239929206","662.7165661621099","677.9155946289054","729.2939822631789","750.0120832397416","729.3043155090303","732.4235014648417","750.1106065002401","749.9382343261678","779.2728989562944","756.164240582272","744.7860035766577","748.5209546630842","741.674294989013","740.6085253234854","746.2948987670883","732.4290576965335","733.7615770019537","719.803737042237","719.0047177063004","718.2950483581552","730.1144584655766","751.1778271911626","768.1525884887695","772.7716803161608","809.4766473083453","834.2747250366166","864.1383270385707","889.8322479919399","957.2977688293415"
"1.7. Formação Campestre","6937.891281298934","6911.851943963739","6905.451926788446","6897.540709082142","6897.2738613709535","6895.050164251807","6895.766033032295","6891.854539276185","6890.43294656378","6887.857837414607","6889.723201983705","6895.855503979557","6886.07915796515","6873.994663348438","6847.244981420917","6847.513746655287","6827.250471746849","6825.029437469513","6839.16134237065","6836.225598376525","6849.205768029843","6857.914575347961","6865.646396386782","6872.664873071368","6884.215247045988","6881.104964300627","6877.908351654126","6903.060386059654","6905.814010089193","6915.062431311117","6930.087688067697","6920.57969104009","6918.00342279668","6922.627097271776","6946.181433105515","6953.7407806885085","6968.40466493533","6986.356681665076","6985.212167321805"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
