"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","204307.2634909744","203748.93292027997","203558.87352148528","203272.53986225513","203106.46789562557","202708.5750196052","202430.58830348382","202626.84899335232","202912.9017483305","203422.59317349296","203668.70099102624","203743.7361268013","203309.54047476678","202805.25928919655","202483.92963024956","202233.6340372689","202080.9374635446","202155.68907269073","202243.23400396502","202262.72657739816","201983.40522087784","201952.57286088538","201990.58398562128","202131.97356540075","202532.06331419948","203117.01753123975","203408.4620718834","203176.49841658524","202592.66036199743","202042.56554847682","201416.21542046728","200989.66687017863","200608.3843780207","200512.34958282506","200066.30348212464","199330.0562813765","198806.7650854469","197677.81708690288","188728.6856625002"
"1.1. Formação Florestal","8477.317823944102","8474.920082055673","8449.404332379232","8037.621185320866","8042.683897259357","8025.616698577718","7973.291515765207","7932.611189312533","7926.75266317726","8179.666521777466","8144.491917584302","8277.390276318714","8290.995884710997","8211.414899127221","8188.516832311911","8181.151249383399","8004.082375598054","7721.135816674507","7483.655749865387","7471.651654833681","7290.403587060326","7573.434889196572","7708.725094085506","8173.421612707608","8179.271718213056","8235.056169568204","8104.715500757023","7814.65947480475","8047.518140814429","8092.477786548079","8045.932129815813","8219.44091546669","8215.619704376608","8496.548170422884","8451.601206976731","8393.137563171851","8371.72271618088","8382.116936719178","8544.421624085004"
"1.2. Formação Savânica","185893.21044817637","185439.40830291522","185273.00960264343","185421.01302353435","185251.29722352463","184741.79138968576","184584.05823146834","184840.53104755149","185087.15761192917","185385.9511571474","185697.68937950858","185632.01236024796","185251.0825629803","184871.5830786677","184586.64882915685","184359.34646432564","184440.91507101513","184807.41288049106","185151.00043515404","185135.790486584","185026.51886142953","184642.7641311917","184511.0251287548","184209.48093128792","184581.7013644799","185097.64792895044","185515.87705326124","185674.13856765308","184880.17538067987","184357.13582057712","183874.3008546465","183272.91391654022","182896.34359733763","182457.30739667313","182048.0356769909","181352.84367187257","180842.08032914737","179718.35949705233","170836.5146797968"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","94.42595675048835","90.25221133422856","94.25047937011723","99.13586540527346","83.94596267089847","82.17006641845705","79.9484577636719","77.28242407226566","82.5232037658692","78.43723289184574","79.14625490722663","71.06251328735357","69.55327651367192","77.63677940063484","81.8129401306153","88.91878462524426","91.3161172241212","82.34547769775395","82.08039270629884","71.68712412109376","77.46079764404298","79.77110724487308","83.41367745361326","80.21549028930666","89.27375005493168","91.76004438476566","92.11394263916023","90.07076164550789","87.76107297973638","87.84986363525398","85.095796069336","82.51836890869147","87.04949080200201","96.55436673583986","100.01848358764649","104.3719081176758","112.19084884643556","111.47958211669928","119.5608960021973"
"1.7. Formação Campestre","8875.780394861029","8756.867462268312","8775.513439288548","8771.69545208154","8775.78245212428","8887.146956512652","8834.759282092533","8838.671745422618","8904.381900158876","8857.572518738007","8836.261623871098","8843.98770211207","8791.946605517855","8776.231011627462","8767.529077905552","8778.27367693509","8727.02787464016","8715.829999524198","8703.304458453636","8755.694173047126","8760.141586749545","8829.498706537106","8861.916291955786","8842.373691565146","8869.098322400072","8891.467290716702","8899.195881494288","8825.138808526819","8818.034086889866","8748.948501837429","8654.55242701448","8650.996668481768","8642.909477508865","8695.389646594547","8698.410032953174","8713.59784928618","8719.018349792761","8719.029170581343","8506.840322027847"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","966.528867242431","987.484861706543","966.6956678039548","943.0743359130862","952.7583600463867","971.8499084106438","958.5308163940427","937.752586993408","912.0863692993162","920.9657429382322","911.111815155029","919.2832748352046","905.9621450439447","868.3935203735359","859.4219507446294","825.9438619995119","817.5960250671393","828.9648983032233","823.1929677856449","827.9031388122563","828.8803879943853","827.1040267150884","825.5037933715824","826.4818395507816","812.7181590515136","801.0860976196294","796.5596937316895","772.4908039550775","759.1716806335444","756.1535758789055","756.3342129211425","763.7970007812502","766.4621079956055","766.5500023986817","768.238081616211","766.1052889282226","761.7528414794921","746.8319004333491","721.348140588379"
"2. Antrópico","10286.664328308318","11070.993590967017","11523.895018750336","11906.393734338486","12140.582547467251","12744.678204797452","13101.969531140034","12915.84510977204","12766.188175183443","12260.04453972819","11903.647532806668","11841.578767731029","12315.641885211508","12741.3298878294","13034.245946813498","13365.618047649887","13483.763676886181","13407.505537146317","13277.861757306546","13180.829531934169","13363.178345721637","13425.270365851076","13404.129227392667","13265.575011206129","13025.601670617652","12427.499756115856","12126.116768109378","12352.581546966829","12974.245037262242","13495.211924719366","14023.792407867437","14472.171464343091","14869.788043004864","14994.589584386735","15540.451571008096","16255.387619384215","16776.822282909896","17818.927991778575","26672.77649522712"
"2.1. Pastagem","1385.0759061523363","3303.7443613708533","5541.401217675873","7068.311622619745","8072.372004565672","9220.036753295995","9145.707891125394","8268.556129114102","7599.966599487726","6861.758041809591","6440.122092639566","6883.264674921071","8292.602920654643","9293.815758050358","9779.243502465359","9671.478996691641","8658.301759247086","7596.800274243553","6925.9300511054935","6972.456435089735","7376.409924035875","7967.41179920079","8424.991761615118","8616.32914208998","8637.749848223904","8257.193690338285","7985.372063849132","8195.652441339382","8922.532420117459","9673.485853375365","10659.175566827398","11351.816872588945","11884.14271674144","12341.697571367939","12939.678858147994","13335.925087914493","13922.002995025377","14781.0603087097","16651.652638360538"
"2.2. Soja","","","","","","","","","","","","","","","","","2.663775537109375","1.953418804931641","1.065498406982422","0.5327496643066407","2.5749525634765624","3.640479357910156","3.3741678955078127","1.4207158996582032","0.532774365234375","","","","23.44138388061518","31.432720526122925","21.310320196533212","19.445509356689467","17.048234289550784","7.014662927246092","3.5517175170898434","7.1921997985839825","7.1921997985839825","7.1921997985839825","7.280992108154294"
"2.3. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","0.8879618530273437","1.8646943603515622","0.44396169433593746","0.4439559020996094","","","","","","","","","","","","8.257786523437503","38.18082332153316","44.39644901123056","43.59731459960945","39.1576841064453","39.06889179687498","38.802513909912086","38.980098388671856"
"2.7. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.9. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.10. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.11. Silvicultura","","","","","","","","","","","","","","","","","1.7760521362304686","1.7760521362304686","3.019287036132813","3.019287036132813","3.019287036132813","3.019287036132813","3.019287036132813","4.706541479492187","6.2162021545410155","5.772188568115235","3.907338702392578","20.160427746581995","47.24811464843756","47.42573903808599","49.201999755859454","53.37624454345704","58.70495661010764","54.44210693969743","62.52401197509787","93.34176528930654","211.63908288574225","211.55027021484383","211.81670354003916"
"2.12. Mosaico de Usos","8550.321617236546","7404.972033581758","5618.440722455078","4466.836708404531","3655.498247833221","3108.1109916992123","3535.0251705078044","4226.585261816386","4745.69545259391","4977.050050933735","5042.022617071399","4536.544891686911","3601.0033685302537","3025.744914813223","2832.1677006530713","3266.8645934875444","4391.083782214291","5376.060747253352","5918.618994708136","5775.415549090529","5551.147093969701","5019.484609551902","4541.740175183067","4210.16130347284","3946.0144634154785","3729.001502795395","3698.996227618401","3691.29120219117","3531.105931085215","3278.0329000427337","2818.792090313722","2558.990131732174","2381.8365732727075","2054.7665675781263","1994.6541063659656","2283.4141129150394","2097.5433544860844","2279.615036340364","9250.351094806043"
"2.13. Área Urbanizada","351.2668049194349","362.2771960144047","364.0530786193849","371.2454033142088","412.712295068358","416.5304598022448","421.23646950683565","420.7037188415525","420.52612310180655","421.2364469848632","421.50282309570304","421.76920112304686","422.0355960266112","421.7692149658201","422.83474369506814","427.2744574707014","429.05034589843484","429.05035034789785","428.7839643554662","428.9615551513644","430.0270881164519","431.7141907043429","431.00383566283887","432.9573082641581","435.0883824584942","435.5323744140607","437.8411379394514","445.47747568969544","449.91718753051566","464.83471173705846","475.31243077392367","480.28491959838647","489.8747387695277","492.2722265624963","496.4455624023396","496.35676936034764","499.3757589172315","500.70766280517074","512.6949680236767"
"2.14. Mineração","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.15. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Não definido","6343.178277246052","6117.179585278234","5854.33755629265","5758.172499926698","5690.055653424044","5483.85287210696","5404.548261883581","5394.411993383821","5258.016172991906","5254.468383294645","5364.757572686726","5351.791201989689","5311.923736547803","5390.51691950067","5418.930519464043","5337.854011608841","5372.404956097373","5373.911486688187","5416.010335247793","5493.549987188718","5590.5225299255835","5559.262869787648","5542.392883508353","5539.5575199158075","5379.441111706521","5392.588809173543","5402.527256530774","5408.0261329712275","5370.200697265581","5399.328623327559","5497.098268188513","5475.267761999504","5458.933675488269","5430.166929290713","5330.35104335933","5351.6621957153","5353.518728112745","5440.361017785577","5535.643938763365"
"3.1. Outras Áreas não Vegetadas","6343.178277246052","6117.179585278234","5854.33755629265","5758.172499926698","5690.055653424044","5483.85287210696","5404.548261883581","5394.411993383821","5258.016172991906","5254.468383294645","5364.757572686726","5351.791201989689","5311.923736547803","5390.51691950067","5418.930519464043","5337.854011608841","5372.404956097373","5373.911486688187","5416.010335247793","5493.549987188718","5590.5225299255835","5559.262869787648","5542.392883508353","5539.5575199158075","5379.441111706521","5392.588809173543","5402.527256530774","5408.0261329712275","5370.200697265581","5399.328623327559","5497.098268188513","5475.267761999504","5458.933675488269","5430.166929290713","5330.35104335933","5351.6621957153","5353.518728112745","5440.361017785577","5535.643938763365"
"3.2. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
