"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","42376.149766585295","42234.68953158791","42138.657710415006","42062.96416345393","42085.98874454538","42124.90655651387","42111.43206610313","42138.74472060185","42057.35144071854","42210.502171498","42250.92861724407","42246.912400294765","42291.89561218532","42046.09511429052","41942.47735351945","41935.78712192608","41758.54054663927","41578.34660605191","41522.654584541895","41422.787263515085","41236.70634592455","41130.681469729236","40856.588719942185","40674.16453253987","40687.294989253205","40539.05593149651","40460.60873658058","40070.939116671674","39366.74998383486","38889.88051534753","38611.501460513624","37998.8664474761","37270.20722407433","36749.9517033708","35813.67691701281","35383.56409214056","34588.06618210016","33554.771806331715","32651.52105056357"
"1.1. Formação Florestal","23376.196976887168","23384.141060505317","22780.25198903323","22520.699977405275","21930.18821670603","21988.456524316487","22407.85637399972","22506.6590046154","22887.428598871447","24541.549769806814","24518.254078309117","24446.31725263778","23704.91306820223","21707.588334338976","21428.506145357114","21679.93066832987","21789.628183124554","21831.41228893609","22104.364886261617","22442.023922687316","22425.797531879227","22109.923440950017","22126.883213343062","21782.089970301076","21632.04669013705","21556.173760975053","21277.067820417185","20380.070956263666","19896.50513480382","19750.74612428768","19643.28206680472","19222.618076881336","19138.894960462432","19042.950306391198","18752.07093215487","18605.339732276592","19098.060951423035","18671.876050795134","18469.53203968032"
"1.2. Formação Savânica","12358.189091169212","12280.631323243386","13086.682068024835","13406.11649834108","14014.210943568089","14023.957735566471","13668.286357581796","13659.900661762753","13211.393918580407","11632.953081067242","11515.316717267326","11522.368172931388","12369.71413207502","14531.084206623658","14788.482621992654","14627.121555866497","14384.448652186353","14103.742403059246","13668.619665687376","12935.754404578824","12757.779469867904","13005.205071344937","12721.560837281351","12824.218072571895","13111.186178229742","13165.914959022177","13450.647714832547","14077.752931257348","13882.03192794922","13540.212776514909","13289.236599439831","13005.776077888186","12381.454760260784","12029.082047431013","11443.931945660912","11180.095139545116","9984.789180280144","9307.974646326202","8722.560037286768"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1479.9078062316662","1416.7192568786497","1336.7516173889076","1285.5208130676215","1289.0904190124465","1347.1067484130804","1405.2986770019418","1528.3773827819641","1647.8853889770403","1689.4727456970004","2144.8404065123586","2235.9653830993657","1935.0924809874905","1693.4921386474482","1558.8097908386057","1488.298295733634","1506.238619512933","1434.2978664001475","1498.6479256225525","1451.0749241332953","1796.9300943359322","1823.6178189269942","1755.516713580313","1600.6606180541887","1551.7527531310932","1701.7016224487134","1739.991151312237","1728.5661177856273","1849.503874353013","1971.1539771545365","2120.5616951782144","2110.656895941147","2003.9117933959774","1792.475635577379","1717.1468394286965","1635.5698770995962","1631.1075413329925","1455.3689746154637","1569.7041283264002"
"1.7. Formação Campestre","139.23850718383804","129.15317967529333","173.78157577514662","196.27403684692396","219.2130834350587","217.69618031005868","236.17244161987344","265.71644860229543","256.3445681518556","203.05858764038064","246.88419277954088","244.47427166137686","213.1448010864259","258.2197342102056","270.00214132080055","264.37922778930755","271.6982607666015","273.92968000488247","272.50127378540043","242.2433640136719","231.71114462280244","225.90932378540006","230.90777127075185","230.19369132690423","229.74705718994142","252.1501624511726","256.43408448486394","272.85715541381836","279.105540948486","287.85268023071217","299.36688703613265","323.1978595581048","323.37612875976504","308.827970910644","300.08115265502875","287.942593359374","279.46335741577053","260.89777800292995","290.08428005370956"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
