"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","820837.1580268526","819110.7874223844","818931.4934169579","813630.6420704518","814506.7102301439","807438.3754206175","799059.0108823589","792251.5343875658","782935.4365957014","779905.2707226712","774801.5484960829","770396.605414287","767356.2185924229","761417.5332579018","756853.8358330437","749853.4045554952","737271.9591585426","729814.2635285176","724187.830633797","716153.0472025602","709625.5928044779","706827.6984578039","703101.3680650399","696222.7523333873","691547.5802753916","688250.2568378682","683322.827584772","668294.7296919439","652542.4714461846","642336.5907094363","635212.9498651186","629942.3023815411","630591.9125218195","631369.0611140012","623258.5590424846","607398.9748690855","595549.6850799081","580528.1913708634","558618.579534796"
"1.1. Formação Florestal","584390.1645491489","583566.6932306966","587602.4372924799","584743.2927547025","590915.823109291","591099.2252906258","589068.8003675743","586036.1795733595","577025.0208547016","572241.6039575966","568832.1333027225","563174.4639979535","559779.0064840543","555610.4897018794","553618.6723264895","548636.3996246422","536563.458355137","530629.6556442592","528339.8659678492","521243.0173397069","514010.3508157321","512900.3129301982","510649.15761327156","501877.91244298435","498498.00904473715","496346.22931953036","493092.6038487697","482577.86591445893","474635.9739135457","470865.3860259324","466786.31355846627","462555.48129362514","462089.2010208813","461965.0836823618","456150.1181554402","446688.32137454493","439045.6136046113","432828.31367106136","421620.96069737116"
"1.2. Formação Savânica","210986.86411969544","210159.12114356097","206166.17828117913","203788.95332815108","198585.70957747457","191425.95161084435","185164.3362988477","181534.50324089028","181330.54045279717","183105.3934084882","181323.09276907996","182545.84903169537","182891.21644309087","181174.7744743385","178652.23431218718","176758.44722299726","176277.1400178702","174743.27561481815","171433.74961378053","170282.03910450925","170975.0680082886","169242.4918346608","167717.81673992082","169508.89771264966","168146.7728231892","166907.66978294295","165018.7312252291","160319.78036287872","152503.751485696","146446.82468139764","143529.97337218508","142550.88310966827","143695.8370549963","144540.196712022","142446.29624694982","136199.32811126357","131990.4661982087","123255.18789465011","112303.5863667762"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","1612.8063769042942","1601.8555654724094","1431.4283189941384","1372.107343420409","1282.8173682739248","1233.9890601074217","1189.4308439392096","1145.6797295104986","1143.9923828613296","1166.5747960632343","1205.1676426879887","1224.7326589599625","1260.311913513184","1234.881480249023","1243.778727697754","1334.8400485656755","1339.7627154235868","1362.189925775149","1330.6310094055214","1342.2011914733919","1393.1518594482454","1422.3321725158721","1518.8666501831087","1551.7890790161164","1597.502193609623","1551.325309106449","1549.354891845706","1506.3801918151892","1502.1047730957064","1493.476483062748","1427.9151229858408","1431.2889618713384","1455.2115458496112","1473.891724890139","1512.8498168396025","1581.1707465148954","1667.1192618652374","1660.4455571533235","1674.942145544437"
"1.7. Formação Campestre","23174.03702336484","23113.747211658294","23012.741831555748","23011.144705853843","22995.139598804293","22968.64110221613","22910.591555774517","22805.503159161974","22787.899332971785","22786.129030438835","22819.38856581483","22814.23641569887","22815.92279040589","22809.604591571646","22772.610967493274","22755.712561609478","22769.945638098743","22775.903874060656","22783.28849407409","23004.704772748417","22995.99567233336","23015.45265014706","22966.36731315979","23023.3415106695","23066.450102661718","23218.646637689795","23464.30452322445","23702.384779163134","23748.431200110444","23385.72238983828","23321.699207709356","23279.22087297425","23230.062842169802","23248.629190344855","23001.181271893893","22751.61743075622","22671.245376733994","22573.693314185137","22778.745237079365"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","673.2859577392574","669.3702709960936","718.707692749023","715.1439383239742","727.2205763000479","710.5683568237297","725.8518162231437","729.668684643554","647.9835723693843","605.5695300842283","621.7662157775877","637.3233099792475","609.7609613586426","587.783009863281","566.5394991760254","368.00509768066394","321.6524320129394","303.23846960449225","300.29554868774414","281.08479412231446","251.0264486755371","247.10887028198246","249.1597485046387","260.8115880676269","238.84611119384766","226.38578859863284","197.83309570312497","188.31844362792975","152.21007373657216","145.18112920532212","147.04860377197255","125.42814340209962","121.6000579223633","141.25980438232426","148.113551361084","178.5372060058593","175.24063848876946","210.55093381347646","240.34508802490228"
"2. Antrópico","63711.46487249651","66046.23595407652","65843.76979894936","71117.90914493968","70470.85456763874","77812.8399876154","85968.78043168299","92367.58118787661","101612.50555650337","104507.84655872405","109900.61747784862","114708.4818866013","117760.17118688783","123635.32218397658","128438.29703268268","135516.2950154288","148046.81030144537","155454.03903437825","160988.89080756347","168899.6914717981","175189.81850366105","177897.08564052123","181599.8415856806","187991.1192729858","192523.3523759214","196181.03992487094","201056.57843728387","216029.07469012367","232478.1681540921","242129.69209722694","249244.41010347192","254431.33404707204","253788.84612715282","253119.88325553978","261222.4638419201","276644.672070709","288471.256606786","303426.49252476747","323436.4539371139"
"2.1. Pastagem","5682.82137994384","13307.00335501707","20865.869227184514","27171.071330138744","33096.4388502134","42298.4083320614","52154.60825663439","60491.760382713255","67770.24319451621","72863.12279750597","77868.0098711595","81741.8021991626","86093.11828897559","89621.53083215198","95054.90954166728","102327.5071886345","111150.15820770204","121635.97522714618","127531.55698298535","132357.59866393756","136145.99538773135","138835.6342484988","138362.64235313065","141427.2009717772","145411.2096628297","148047.2757906979","152637.22702935","172995.10440350283","193321.64200366498","201917.64760925114","199455.10840229466","194820.17611041458","187854.3676423504","182270.11658610028","192916.16677171172","204285.62847744787","212936.1147590449","225875.29638241575","239306.70178080368"
"2.2. Soja","","","","","","","","","","","0.8895169555664063","0.5337038269042969","","0.8894509277343751","4.803285321044922","118.74373739624016","216.3002397277833","323.9341296691894","970.7797128601069","2089.80724942016","2683.4370040893546","3299.344403656014","4262.153918457038","4889.295371643083","3874.805900054889","4028.2911689575462","3219.7043545898064","4000.67866729123","6157.650839550752","10934.989929962034","20535.73388305602","29501.350034209878","29908.00039149771","19077.356658508284","15248.340733044273","16867.309752068766","16938.11920491304","19423.094622112792","19426.20788621799"
